"Date","Price","Open","High","Low","Change %"
"08/17/2019","-0.705","-0.705","-0.705","-0.705","1.67%"
"08/16/2019","-0.693","-0.689","-0.598","-0.716","0.25%"
"08/15/2019","-0.692","-0.677","-0.585","-0.716","5.22%"
"08/14/2019","-0.657","-0.615","-0.589","-0.690","2.85%"
"08/13/2019","-0.639","-0.647","-0.576","-0.693","-1.04%"
"08/12/2019","-0.646","-0.606","-0.573","-0.688","11.11%"
"08/11/2019","-0.581","-0.581","-0.581","-0.581","0.00%"
"08/10/2019","-0.581","-0.550","-0.550","-0.581","-8.92%"
"08/09/2019","-0.638","-0.642","-0.571","-0.680","1.56%"
"08/08/2019","-0.628","-0.632","-0.558","-0.664","1.55%"
"08/07/2019","-0.619","-0.627","-0.551","-0.672","0.57%"
"08/06/2019","-0.615","-0.622","-0.539","-0.672","3.31%"
"08/05/2019","-0.595","-0.581","-0.516","-0.664","15.86%"
"08/04/2019","-0.514","-0.514","-0.514","-0.514","0.00%"
"08/03/2019","-0.514","-0.494","-0.494","-0.514","-4.18%"
"08/02/2019","-0.536","-0.595","-0.504","-0.641","-8.24%"
"08/01/2019","-0.585","-0.588","-0.502","-0.632","2.45%"
"07/31/2019","-0.571","-0.625","-0.526","-0.638","-3.83%"
"07/30/2019","-0.593","-0.613","-0.511","-0.631","1.07%"
"07/29/2019","-0.587","-0.612","-0.497","-0.630","13.08%"
"07/27/2019","-0.519","-0.539","-0.519","-0.539","-7.93%"
"07/26/2019","-0.564","-0.609","-0.492","-0.632","-8.76%"
"07/25/2019","-0.618","-0.639","-0.533","-0.647","-0.27%"
"07/24/2019","-0.620","-0.622","-0.551","-0.665","1.84%"
"07/23/2019","-0.608","-0.643","-0.558","-0.653","-3.20%"
"07/22/2019","-0.628","-0.634","-0.543","-0.651","-2.42%"
"07/21/2019","-0.644","-0.582","-0.582","-0.644","1.91%"
"07/20/2019","-0.632","-0.543","-0.543","-0.632","1.09%"
"07/19/2019","-0.625","-0.575","-0.522","-0.646","2.14%"
"07/18/2019","-0.612","-0.613","-0.532","-0.636","-1.97%"
"07/17/2019","-0.624","-0.624","-0.535","-0.631","5.08%"
"07/16/2019","-0.594","-0.584","-0.494","-0.627","6.95%"
"07/15/2019","-0.556","-0.600","-0.512","-0.626","5.11%"
"07/14/2019","-0.529","-0.529","-0.529","-0.529","0.00%"
"07/13/2019","-0.529","-0.529","-0.529","-0.529","-7.67%"
"07/12/2019","-0.572","-0.600","-0.502","-0.621","3.66%"
"07/11/2019","-0.552","-0.583","-0.490","-0.621","-7.13%"
